subset,refset,repair,neighborhood,ls_type,problem,mean,std,min
BinaryTournament,RefSet_8,RepairKnapsack,SingleBitActivate,FirstImprov,Knapsack,-3524.6,15.061208450851478,-3540.0
BinaryTournament,RefSet_8,RepairKnapsack,SingleBitActivate,BestImprov,Knapsack,-3535.5,3.0740852297878796,-3540.0
BinaryTournament,RefSet_8,RepairKnapsack,MultipleBitActivate,FirstImprov,Knapsack,-3537.1,4.2296571965113205,-3542.0
BinaryTournament,RefSet_8,RepairKnapsack,MultipleBitActivate,BestImprov,Knapsack,-3539.2,3.2186953878862163,-3544.0
BinaryTournament,RefSet_8,RepairKnapsack2,SingleBitActivate,FirstImprov,Knapsack,-3073.2,61.34949062543225,-3174.0
BinaryTournament,RefSet_8,RepairKnapsack2,SingleBitActivate,BestImprov,Knapsack,-3270.2,67.69903987502333,-3367.0
BinaryTournament,RefSet_8,RepairKnapsack2,MultipleBitActivate,FirstImprov,Knapsack,-3147.1,48.54369166019412,-3250.0
BinaryTournament,RefSet_8,RepairKnapsack2,MultipleBitActivate,BestImprov,Knapsack,-3335.5,57.0915930763891,-3436.0
BinaryTournament,RefSet_16,RepairKnapsack,SingleBitActivate,FirstImprov,Knapsack,-3523.8,22.78508283943686,-3541.0
BinaryTournament,RefSet_16,RepairKnapsack,SingleBitActivate,BestImprov,Knapsack,-3537.6,3.7735924528226414,-3544.0
BinaryTournament,RefSet_16,RepairKnapsack,MultipleBitActivate,FirstImprov,Knapsack,-3537.0,2.569046515733026,-3540.0
BinaryTournament,RefSet_16,RepairKnapsack,MultipleBitActivate,BestImprov,Knapsack,-3539.7,2.7946377224964243,-3544.0
BinaryTournament,RefSet_16,RepairKnapsack2,SingleBitActivate,FirstImprov,Knapsack,-2945.8,74.28566483514837,-3066.0
BinaryTournament,RefSet_16,RepairKnapsack2,SingleBitActivate,BestImprov,Knapsack,-3153.8,62.3310516516447,-3300.0
BinaryTournament,RefSet_16,RepairKnapsack2,MultipleBitActivate,FirstImprov,Knapsack,-3059.9,89.21036935244692,-3177.0
BinaryTournament,RefSet_16,RepairKnapsack2,MultipleBitActivate,BestImprov,Knapsack,-3190.1,55.00809031406199,-3329.0
Exhaustive_filt,RefSet_8,RepairKnapsack,SingleBitActivate,FirstImprov,Knapsack,-3275.2,77.61288552811318,-3362.0
Exhaustive_filt,RefSet_8,RepairKnapsack,SingleBitActivate,BestImprov,Knapsack,-3394.5,28.23915721122003,-3438.0
Exhaustive_filt,RefSet_8,RepairKnapsack,MultipleBitActivate,FirstImprov,Knapsack,-3272.0,53.06976540366464,-3365.0
Exhaustive_filt,RefSet_8,RepairKnapsack,MultipleBitActivate,BestImprov,Knapsack,-3381.8,78.78299308861018,-3511.0
Exhaustive_filt,RefSet_8,RepairKnapsack2,SingleBitActivate,FirstImprov,Knapsack,-2656.8,66.83831236648633,-2760.0
Exhaustive_filt,RefSet_8,RepairKnapsack2,SingleBitActivate,BestImprov,Knapsack,-2710.4,45.519666079618816,-2789.0
Exhaustive_filt,RefSet_8,RepairKnapsack2,MultipleBitActivate,FirstImprov,Knapsack,-2679.1,50.733519491555086,-2769.0
Exhaustive_filt,RefSet_8,RepairKnapsack2,MultipleBitActivate,BestImprov,Knapsack,-2775.6,53.96332087631375,-2881.0
Exhaustive_filt,RefSet_16,RepairKnapsack,SingleBitActivate,FirstImprov,Knapsack,-3124.0,50.521282644050125,-3215.0
Exhaustive_filt,RefSet_16,RepairKnapsack,SingleBitActivate,BestImprov,Knapsack,-3192.0,65.834641337217,-3320.0
Exhaustive_filt,RefSet_16,RepairKnapsack,MultipleBitActivate,FirstImprov,Knapsack,-3143.9,46.0466068239561,-3201.0
Exhaustive_filt,RefSet_16,RepairKnapsack,MultipleBitActivate,BestImprov,Knapsack,-3217.3,52.33364118805417,-3301.0
Exhaustive_filt,RefSet_16,RepairKnapsack2,SingleBitActivate,FirstImprov,Knapsack,-2684.1,42.80292046110873,-2740.0
Exhaustive_filt,RefSet_16,RepairKnapsack2,SingleBitActivate,BestImprov,Knapsack,-2763.9,87.95163443620591,-2932.0
Exhaustive_filt,RefSet_16,RepairKnapsack2,MultipleBitActivate,FirstImprov,Knapsack,-2696.4,74.81737766054087,-2821.0
Exhaustive_filt,RefSet_16,RepairKnapsack2,MultipleBitActivate,BestImprov,Knapsack,-2788.5,39.20267847992022,-2839.0
